epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,948.479,0.61723,0.56052,0.83704,0.91221,0.79167,0.9456,0.8491,0.48129,0.93098,0.82746,0.00181586,0.00181586,0.00181586
95,958.545,0.62873,0.50741,0.87045,0.9708,0.95833,0.98942,0.90626,0.42838,0.60867,0.81868,0.00181388,0.00181388,0.00181388
96,969.301,0.59156,0.54777,0.81945,0.9708,0.95833,0.98942,0.90626,0.42838,0.60867,0.81868,0.0018119,0.0018119,0.0018119
97,979.66,0.65786,0.49975,0.83701,0.97951,0.99592,0.99418,0.93436,0.40001,0.4639,0.80987,0.00180992,0.00180992,0.00180992
98,990.273,0.62278,0.49132,0.83319,0.97951,0.99592,0.99418,0.93436,0.40001,0.4639,0.80987,0.00180794,0.00180794,0.00180794
99,1000.96,0.58923,0.48408,0.84597,0.97951,0.99592,0.99418,0.93436,0.40001,0.4639,0.80987,0.00180596,0.00180596,0.00180596
100,1011.32,0.59437,0.49554,0.83745,0.99714,1,0.995,0.93513,0.40866,0.4179,0.80444,0.00180398,0.00180398,0.00180398
101,1022.59,0.5935,0.50648,0.85397,0.99714,1,0.995,0.93513,0.40866,0.4179,0.80444,0.001802,0.001802,0.001802
102,1034.27,0.61224,0.51373,0.84706,0.99714,1,0.995,0.93513,0.40866,0.4179,0.80444,0.00180002,0.00180002,0.00180002
103,1045.01,0.61801,0.50645,0.85001,0.99832,1,0.995,0.90598,0.44773,0.429,0.81005,0.00179804,0.00179804,0.00179804
104,1054.96,0.5948,0.74158,0.85335,0.99832,1,0.995,0.90598,0.44773,0.429,0.81005,0.00179606,0.00179606,0.00179606
105,1065.44,0.57013,0.47209,0.82084,0.94115,0.9995,0.98795,0.91568,0.43676,0.57996,0.81484,0.00179408,0.00179408,0.00179408
106,1075.26,0.61292,0.48539,0.83764,0.94115,0.9995,0.98795,0.91568,0.43676,0.57996,0.81484,0.0017921,0.0017921,0.0017921
107,1085.43,0.62596,0.48012,0.82702,0.94115,0.9995,0.98795,0.91568,0.43676,0.57996,0.81484,0.00179012,0.00179012,0.00179012
108,1096.02,0.58215,0.55962,0.85488,0.86636,0.66667,0.86162,0.80774,0.41868,0.96821,0.82105,0.00178814,0.00178814,0.00178814
109,1106.15,0.56391,0.46605,0.83363,0.86636,0.66667,0.86162,0.80774,0.41868,0.96821,0.82105,0.00178616,0.00178616,0.00178616
110,1117.14,0.59041,0.60045,0.84947,0.86636,0.66667,0.86162,0.80774,0.41868,0.96821,0.82105,0.00178418,0.00178418,0.00178418
111,1127.79,0.58394,0.50792,0.83043,0.8707,0.70155,0.84365,0.77077,0.43886,1.01211,0.8218,0.0017822,0.0017822,0.0017822
112,1137.71,0.59403,0.4877,0.84666,0.8707,0.70155,0.84365,0.77077,0.43886,1.01211,0.8218,0.00178022,0.00178022,0.00178022
