epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,814.606,0.50784,0.67858,1.03733,0.97309,1,0.995,0.84037,0.5798,0.86755,0.77458,0.00181784,0.00181784,0.00181784
94,823.229,0.55965,0.68864,1.04395,0.97309,1,0.995,0.84037,0.5798,0.86755,0.77458,0.00181586,0.00181586,0.00181586
95,830.706,0.63424,0.64022,0.95174,0.97152,1,0.995,0.84037,0.65127,1.02455,0.78788,0.00181388,0.00181388,0.00181388
96,839.597,0.56848,0.66341,0.98734,0.97152,1,0.995,0.84037,0.65127,1.02455,0.78788,0.0018119,0.0018119,0.0018119
97,847.29,0.53956,0.64153,0.9292,0.96384,1,0.995,0.7882,0.59406,1.10378,0.76575,0.00180992,0.00180992,0.00180992
98,854.998,0.60548,0.76025,1.10684,0.96384,1,0.995,0.7882,0.59406,1.10378,0.76575,0.00180794,0.00180794,0.00180794
99,863.074,0.53421,0.64542,0.94414,0.96384,1,0.995,0.7882,0.59406,1.10378,0.76575,0.00180596,0.00180596,0.00180596
100,870.943,0.58841,0.6667,0.99792,0.99572,1,0.995,0.76115,0.44932,1.01635,0.75485,0.00180398,0.00180398,0.00180398
101,878.784,0.6187,0.7383,0.98219,0.99572,1,0.995,0.76115,0.44932,1.01635,0.75485,0.001802,0.001802,0.001802
102,886.282,0.4547,0.58829,0.94229,0.99572,1,0.995,0.76115,0.44932,1.01635,0.75485,0.00180002,0.00180002,0.00180002
103,894.096,0.4658,0.59,0.90426,0.98281,1,0.995,0.74658,0.70052,0.92189,0.89327,0.00179804,0.00179804,0.00179804
104,902.452,0.51199,0.63442,0.9622,0.98281,1,0.995,0.74658,0.70052,0.92189,0.89327,0.00179606,0.00179606,0.00179606
105,910.481,0.50114,0.61079,0.90515,0.97978,1,0.995,0.69808,0.89723,0.93354,1.11211,0.00179408,0.00179408,0.00179408
